"blueWins","blueWardsPlaced","redWardsPlaced","blueWardsDestroyed","redWardsDestroyed","blueFirstBlood","blueTotalMinionsKilled","redTotalMinionsKilled","blueKills","redKills","blueEliteMonsters","redEliteMonsters","blueDragons","redDragons","blueHeralds","redHeralds","blueTotalGold","redTotalGold","blueTotalExperience","redTotalExperience","blueAvgLevel","redAvgLevel","",""
"0","83","35","13","2","1","194","216","7","11","0","1","0","1","0","0","15655","19344","15827","20509","6.4","7.2","",""
"0","17","33","4","4","1","236","233","3","5","0","2","0","1","0","1","15562","16326","18590","17787","7.2","6.8","",""
"1","16","14","3","2","1","223","213","9","2","0","1","0","1","0","0","17139","14102","19137","16443","7.2","6.6","",""
"1","14","19","4","3","1","257","145","7","7","0","1","0","1","0","0","19229","15684","18820","16658","7.2","6.6","",""
"0","14","16","2","4","0","209","255","7","7","1","0","1","0","0","0","16972","18003","19060","19454","7.2","7.4","",""
"0","17","16","1","2","0","213","214","5","10","0","1","0","1","0","0","16249","18045","18383","19132","7","7","",""
"1","16","17","6","2","1","247","203","5","4","0","1","0","1","0","0","16415","14789","17645","16898","6.8","7","",""
"1","40","12","1","1","0","250","186","6","8","1","1","0","1","1","0","18012","17180","19837","18507","7.2","7","",""
"1","16","14","0","2","0","242","203","11","6","2","0","1","0","1","0","19294","16544","20668","18021","7.4","7","",""
"0","16","11","1","3","0","227","186","5","8","1","0","0","0","1","0","15383","16907","17243","18070","6.8","7","",""
"0","16","20","4","2","1","224","210","6","8","1","0","1","0","0","0","15777","17147","17401","18276","6.6","7","",""
"0","14","17","3","3","0","209","231","4","6","0","1","0","1","0","0","14805","16311","17323","17735","6.6","7","",""
"0","13","17","5","4","0","199","212","6","7","0","2","0","1","0","1","15244","16345","16787","17505","6.6","7","",""
"0","18","15","4","4","0","252","225","8","3","1","1","0","1","1","0","17574","14800","19195","16988","7.2","6.6","",""
"0","24","13","0","3","0","222","215","8","11","0","2","0","1","0","1","16655","18461","17831","18419","7","7","",""
"0","12","16","5","5","0","248","207","6","4","1","1","1","0","0","1","16855","15590","18370","17122","7","6.8","",""
"1","17","16","3","3","0","200","227","6","14","0","1","0","1","0","0","15786","20229","16995","21135","6.6","7.6","",""
"0","19","16","3","4","0","233","216","3","5","0","1","0","1","0","0","15143","16070","19080","18113","7.2","7","",""
"1","12","14","3","2","1","221","208","9","5","0","2","0","1","0","1","17309","15884","18904","18176","7","6.8","",""
"1","14","14","3","0","0","211","204","6","4","1","0","1","0","0","0","16416","15239","19684","18523","7.4","7","",""
"1","19","17","2","5","1","231","211","2","7","1","1","1","0","0","1","15222","16808","17812","17402","7","6.8","",""
"0","16","15","2","2","0","232","236","5","10","2","0","1","0","1","0","15526","18422","17629","19710","6.8","7.4","",""
"1","18","12","1","3","0","143","181","12","9","0","0","0","0","0","0","17597","16692","15938","14884","6.4","6.2","",""
"0","17","31","1","1","1","187","211","9","17","0","0","0","0","0","0","16834","20721","14815","18207","6.2","7","",""
"1","32","16","2","2","1","202","210","12","6","1","0","1","0","0","0","19058","15645","19575","16591","7.2","6.6","",""
"0","16","34","2","2","1","228","230","7","9","2","0","1","0","1","0","16806","17062","18034","19614","7","7.4","",""
"1","19","17","5","7","1","227","231","7","10","0","0","0","0","0","0","16643","18463","17554","18966","6.8","7.2","",""
"1","14","102","1","1","1","224","217","6","4","1","0","1","0","0","0","16189","15564","17737","18271","6.8","7","",""
"0","12","14","2","2","0","196","266","2","6","0","1","0","1","0","0","14095","17723","17286","19295","6.8","7","",""
"0","30","16","6","4","1","217","233","5","5","1","1","0","1","1","0","16804","16035","17544","17064","6.8","6.4","",""
"0","18","18","5","3","0","229","198","8","8","1","1","1","0","0","1","17305","17881","18192","18874","7","7","",""
"0","14","42","16","2","0","213","255","3","9","0","1","0","1","0","0","14539","18439","16806","20356","6.4","7.6","",""
"1","14","19","2","2","0","192","209","9","8","1","1","1","0","0","1","17530","17537","18299","18530","7","7.2","",""
"1","13","14","6","3","1","207","231","10","7","0","1","0","1","0","0","18431","16748","19562","18129","7.2","7","",""
"0","16","17","4","8","0","193","245","3","10","0","1","0","1","0","0","14032","18814","16550","19958","6.8","7.4","",""
"1","38","14","3","1","1","205","215","9","7","1","0","1","0","0","0","17869","17233","17810","18024","7","6.8","",""
"1","40","13","1","4","0","183","219","7","14","1","0","1","0","0","0","15974","19395","16174","18798","6.2","7.2","",""
"1","18","39","5","3","0","240","230","5","3","1","0","1","0","0","0","16108","15132","18920","17321","7.2","6.8","",""
"0","40","17","3","4","0","212","211","6","7","0","1","0","0","0","1","16302","16513","17297","18602","6.8","7.2","",""
"1","18","35","5","3","0","215","197","7","5","0","0","0","0","0","0","16750","15529","17603","17141","6.8","6.8","",""
"1","17","35","5","3","0","226","217","7","1","0","1","0","1","0","0","16506","14469","18669","17378","7.2","6.6","",""
"1","15","38","5","2","1","241","229","6","3","1","0","1","0","0","0","16389","15572","17937","18031","7","6.8","",""
"1","18","15","2","1","1","215","227","4","4","0","1","0","1","0","0","15760","15897","18295","18646","7","7","",""
"1","43","23","6","9","1","226","205","4","7","1","0","1","0","0","0","15176","16715","16820","18317","6.4","7.2","",""
"0","13","62","5","3","0","191","216","5","7","0","1","0","1","0","0","15196","16903","16908","18194","6.4","7","",""
"1","13","17","1","1","0","228","143","6","9","1","0","1","0","0","0","16250","16806","17537","17772","7","6.8","",""
"1","20","12","1","3","1","199","225","9","7","1","1","1","0","0","1","16541","16687","16779","17496","6.6","6.8","",""
"1","15","15","1","2","1","227","191","12","4","1","1","0","1","1","0","18657","14574","19205","16321","7.2","6.6","",""
"1","17","38","1","2","0","223","226","5","5","0","1","0","1","0","0","16873","15484","19105","17687","7.2","6.8","",""
"0","28","16","4","2","0","211","208","3","4","1","1","1","0","0","1","14383","15273","15898","16426","6.4","6.4","",""
"0","12","18","3","3","1","192","194","4","9","0","0","0","0","0","0","14420","16939","15196","16291","6.4","6.4","",""
"0","87","10","1","1","0","183","201","4","15","0","0","0","0","0","0","14720","19160","15031","19051","6.2","7.4","",""
"1","15","17","3","1","1","251","190","7","6","0","2","0","1","0","1","17406","16266","19761","19056","7.2","7.2","",""
"0","15","13","4","5","1","172","219","5","7","0","0","0","0","0","0","15210","16866","15974","17806","6.4","6.8","",""
"1","23","37","3","2","0","192","199","10","5","0","2","0","1","0","1","17272","15101","15840","16101","6.4","6.6","",""
"1","18","14","1","2","1","206","216","12","4","0","0","0","0","0","0","19358","15517","19257","16773","7.2","6.8","",""
"1","16","37","3","1","0","232","216","4","11","1","1","0","1","1","0","16855","17740","16360","18532","6.6","7.2","",""
"0","16","17","2","4","0","191","241","3","8","2","0","1","0","1","0","15209","17961","16256","18542","6.6","7.2","",""
"1","17","17","3","4","1","207","200","13","9","0","0","0","0","0","0","19542","17461","17935","17469","7","7","",""
"0","15","16","5","2","1","232","209","4","3","0","0","0","0","0","0","15267","14814","17321","17340","6.6","6.8","",""
"0","15","40","2","4","1","224","220","3","1","1","1","1","0","0","1","15243","14413","17194","18196","6.6","6.8","",""
"0","21","17","2","4","0","203","168","8","8","0","0","0","0","0","0","16214","16120","17234","17679","6.8","7","",""
"0","70","13","2","1","0","178","232","8","6","2","0","1","0","1","0","15976","16698","18227","17336","7","6.6","",""
"0","18","38","1","5","0","230","222","6","7","1","1","0","1","1","0","16557","18048","17632","18431","6.8","7","",""
"0","10","13","1","1","0","198","201","6","14","0","2","0","1","0","1","16142","19251","16953","18698","6.8","7","",""
"0","15","16","4","4","1","230","178","7","11","0","1","0","1","0","0","17984","17447","18708","19185","7.2","7.2","",""
"1","15","39","9","1","0","222","208","13","5","2","0","1","0","1","0","20038","15959","21588","16020","7.8","6.6","",""
"1","91","17","3","1","0","213","210","10","5","0","0","0","0","0","0","19571","15565","18463","16382","7.2","6.6","",""
"0","18","16","2","0","1","200","246","3","10","0","2","0","1","0","1","14557","18139","15128","20523","6.4","7.6","",""
"1","16","19","4","3","0","205","224","6","6","0","1","0","1","0","0","16029","16384","18567","18334","7","7","",""
"1","18","41","11","1","1","207","178","7","6","0","0","0","0","0","0","18053","14589","16741","15747","6.6","6.4","",""
"1","16","12","2","1","1","225","229","9","5","1","1","1","0","0","1","18098","15881","18905","16722","7","6.6","",""
"1","13","13","1","3","1","235","234","8","3","2","0","1","0","1","0","18343","15294","19519","18008","7.2","7","",""
"1","13","25","2","2","0","198","199","5","6","1","0","1","0","0","0","15596","15901","17998","18472","7","7","",""
"0","54","15","3","3","0","229","218","4","2","1","1","1","0","0","1","15812","14487","17882","17403","7","7","",""
"1","17","14","2","4","1","221","203","6","6","0","1","0","1","0","0","15947","16000","16477","16390","6.4","6.4","",""
"0","35","16","1","4","0","196","237","5","9","0","1","0","1","0","0","14997","17862","16532","17973","6.6","6.8","",""
"0","10","33","1","0","1","215","217","7","7","0","1","0","1","0","0","16463","16556","17576","18137","6.8","7","",""
"0","19","15","5","3","1","225","212","6","7","0","1","0","1","0","0","16072","16492","17054","18239","6.6","7.2","",""
"1","22","60","6","6","1","253","179","7","3","1","1","1","0","0","1","19140","14132","19579","17224","7.4","6.8","",""
"0","19","19","2","3","1","188","196","4","6","0","2","0","1","0","1","14547","16621","15883","17678","6.4","6.8","",""
"1","14","20","5","3","0","188","190","5","4","1","0","0","0","1","0","15644","15647","17717","16704","6.8","6.6","",""
"0","15","21","2","3","1","213","249","5","5","0","2","0","1","0","1","15734","16571","17911","18571","7","7","",""
"1","38","37","2","4","1","229","216","5","5","1","1","1","0","0","1","16794","16284","17320","18067","6.8","7.2","",""
"0","16","14","3","4","0","200","214","6","11","1","0","1","0","0","0","15930","19479","17257","19664","6.8","7.4","",""
"1","17","56","4","2","0","240","199","6","6","0","1","0","1","0","0","16936","16664","18646","18287","7.2","6.8","",""
"1","18","45","2","3","1","230","206","9","5","0","0","0","0","0","0","17941","15754","19379","17190","7.2","7","",""
"0","19","18","6","7","0","222","242","2","8","0","1","0","0","0","1","13698","18605","15671","18227","6.2","7","",""
"1","14","16","3","1","1","238","210","5","4","1","0","1","0","0","0","15943","15880","19262","18614","7.4","7","",""
"1","17","15","0","2","0","222","230","4","8","1","1","0","1","1","0","15891","18023","18304","18788","7","7","",""
"0","12","15","4","2","0","211","222","5","6","1","1","0","1","1","0","16216","17192","19002","19966","7","7.6","",""
"0","86","36","4","6","1","186","218","3","5","0","1","0","1","0","0","14754","16096","17158","19124","6.6","7.2","",""
"1","16","14","1","3","1","229","208","8","2","1","0","1","0","0","0","16909","14605","18318","15786","7.2","6.2","",""
"1","15","83","6","3","0","218","219","10","2","0","1","0","1","0","0","18858","14639","19691","16312","7.2","6.6","",""
"0","22","46","7","6","1","180","243","6","7","0","0","0","0","0","0","15952","18001","17112","19452","6.8","7.2","",""
"0","16","20","4","4","0","187","236","1","5","0","1","0","1","0","0","13286","17465","15085","18908","6.2","7","",""
"0","17","19","7","5","0","269","245","6","6","0","1","0","1","0","0","16812","16878","18466","19539","7.2","7","",""
"1","16","14","3","1","0","178","215","9","7","2","0","1","0","1","0","17906","17396","18001","17859","6.8","6.8","",""
"0","15","15","3","2","1","263","208","4","3","1","1","0","1","1","0","16408","13817","19181","17614","7.2","6.8","",""
"0","14","13","1","1","1","198","177","4","12","0","1","0","1","0","0","15056","18828","16369","19403","6.4","7.4","",""
"0","25","17","1","2","1","240","233","6","6","1","0","1","0","0","0","17831","16866","18269","19147","6.8","7","",""
"0","11","14","1","2","0","223","259","1","5","0","2","0","1","0","1","13738","17206","16678","18836","6.6","7.4","",""
"1","25","13","5","4","1","212","196","14","3","0","0","0","0","0","0","20317","14164","20330","16414","7.4","6.4","",""
"0","15","56","0","2","0","233","229","0","5","0","1","0","1","0","0","14091","16307","16184","18914","6.4","7","",""
"0","17","19","4","6","0","191","206","6","11","1","0","1","0","0","0","16036","18344","16916","18683","6.6","7.2","",""
"1","17","14","4","2","1","210","194","6","6","1","1","0","1","1","0","17052","15135","17392","17571","6.6","7","",""
"0","14","13","4","4","0","268","244","4","7","0","1","0","1","0","0","16354","18030","18778","20537","7","7.4","",""
"1","18","13","1","0","1","242","214","10","5","1","0","1","0","0","0","18297","15588","19476","18217","7.2","6.8","",""
"0","17","40","5","6","0","222","216","6","8","0","1","0","1","0","0","15748","17052","16524","17076","6.6","6.8","",""
"1","42","14","4","1","1","229","222","8","5","1","0","1","0","0","0","17886","16062","20099","18690","7.4","7.2","",""
"0","17","17","7","5","0","174","212","11","8","0","2","0","1","0","1","17069","16840","16703","16748","6.6","6.8","",""
"1","15","29","2","2","0","252","214","4","4","1","0","0","0","1","0","16631","15124","19310","17643","7.2","7","",""
"0","12","17","3","3","0","231","235","1","5","1","0","1","0","0","0","14766","16553","18364","19499","7","7","",""
"0","14","15","2","2","0","234","182","8","7","0","0","0","0","0","0","17113","16298","19396","17999","7.2","6.8","",""
"0","13","15","2","1","0","167","238","5","14","1","0","1","0","0","0","15120","19887","16713","21774","6.6","7.8","",""
"0","13","15","3","4","0","221","262","4","6","0","1","0","1","0","0","15339","17200","16302","18834","6.6","7","",""
"0","68","15","0","4","0","174","234","1","14","1","0","1","0","0","0","13438","21093","14164","18649","5.8","7","",""
"1","20","12","1","6","0","212","224","4","9","0","0","0","0","0","0","15582","17640","17281","19332","6.8","7.2","",""
"1","16","18","3","1","0","201","213","5","5","1","0","1","0","0","0","15441","16016","17550","17758","6.6","6.8","",""
"0","12","15","2","0","1","245","212","4","2","1","0","0","0","1","0","16002","14237","18467","17766","7.2","6.8","",""
"0","13","15","5","2","1","220","185","5","5","1","1","0","1","1","0","16009","15469","18033","17764","6.8","6.8","",""
"1","16","17","3","4","0","186","204","12","9","0","1","0","1","0","0","18106","17244","16668","17110","6.6","6.8","",""
"1","35","15","3","1","1","221","201","6","2","1","0","1","0","0","0","16501","13740","18428","16769","6.6","6.6","",""
"0","14","84","2","4","0","227","214","3","8","0","1","0","1","0","0","15505","16754","17721","18574","6.8","7.2","",""
"1","35","17","2","4","0","244","217","5","5","0","1","0","1","0","0","16195","16270","19145","18490","7","7","",""
"1","18","17","3","1","1","230","178","14","5","1","0","1","0","0","0","20294","14489","18459","13682","6.8","5.8","",""
"0","22","13","4","5","0","198","212","5","7","1","1","0","1","1","0","15475","16285","18145","18450","7","7","",""
"0","124","17","3","4","1","225","227","5","4","1","0","0","0","1","0","16243","15209","18154","17448","7","6.8","",""
"1","18","17","1","8","1","231","260","3","7","0","1","0","0","0","1","15065","17660","17137","19993","6.6","7.4","",""
"1","22","16","5","1","0","228","223","1","2","0","1","0","1","0","0","14359","14693","17258","17331","6.8","6.6","",""
"1","13","15","3","0","1","233","231","11","4","2","0","1","0","1","0","19377","15571","20008","17847","7.4","7","",""
"0","34","13","3","2","0","220","230","2","7","0","0","0","0","0","0","14135","16846","17185","19732","6.8","7.2","",""
"1","24","17","1","1","1","242","195","8","4","0","0","0","0","0","0","17448","14897","18315","16561","6.8","6.6","",""
"0","50","37","12","3","1","213","254","6","3","1","0","1","0","0","0","15958","15892","17693","18139","6.6","6.8","",""
"0","16","36","3","1","0","213","225","10","5","1","0","1","0","0","0","18287","16045","18402","17675","7.2","6.8","",""
"0","13","13","2","4","0","252","231","2","5","1","0","0","0","1","0","15534","16427","17975","18188","7","7","",""
"0","33","17","1","1","0","230","248","2","5","0","1","0","1","0","0","14935","16143","17703","17855","7","7","",""
"1","13","17","3","1","0","255","215","12","4","0","1","0","1","0","0","19331","15328","19387","16821","7.2","6.8","",""
"1","17","13","3","5","0","240","206","8","6","1","0","1","0","0","0","17131","16312","19719","17570","7.4","7","",""
"1","78","18","4","0","1","230","183","9","3","0","1","0","0","0","1","17983","13974","18340","16405","7","6.6","",""
"0","16","16","2","4","0","221","247","5","6","1","0","1","0","0","0","16842","17101","18443","19444","7","7.4","",""
"0","22","11","2","2","1","212","180","9","6","0","0","0","0","0","0","17569","15841","17101","17839","6.8","7","",""
"0","15","15","5","2","0","241","207","5","5","1","1","0","1","1","0","15882","15408","16956","16563","6.8","6.4","",""
"0","19","17","2","2","1","202","204","9","3","0","0","0","0","0","0","17049","15186","17241","16913","6.8","6.8","",""
"0","40","17","4","5","0","200","253","1","7","0","1","0","1","0","0","13556","17402","16451","18757","6.8","7.2","",""
"0","13","17","1","1","0","227","250","1","3","0","1","0","1","0","0","14692","17065","18342","19934","7","7.2","",""
"1","15","14","2","5","0","204","209","8","7","1","0","1","0","0","0","17000","16782","16417","16621","6.6","6.8","",""
"1","31","20","2","1","1","235","215","6","4","0","0","0","0","0","0","17200","14992","18984","17055","7.2","6.6","",""
"0","44","17","2","4","0","217","241","5","7","1","0","1","0","0","0","15409","16849","18408","18781","7.2","7.2","",""
"0","27","14","2","5","0","184","208","10","12","1","0","1","0","0","0","17283","18128","16235","17978","6.4","6.8","",""
"0","16","12","0","3","0","173","241","5","9","0","1","0","1","0","0","15477","18112","15965","18659","6.4","7","",""
"1","54","37","4","3","0","224","207","6","1","2","0","1","0","1","0","16763","13946","18897","16483","7","6.4","",""
"1","13","16","3","2","0","223","226","9","5","2","0","1","0","1","0","18434","15622","20263","17766","7.4","7.2","",""
"0","17","24","3","4","0","218","263","1","6","0","1","0","1","0","0","13731","17595","16666","19425","6.6","7.2","",""
"1","14","16","2","2","0","233","230","5","6","1","0","1","0","0","0","17251","16917","19984","19029","7.4","7","",""
"1","12","16","2","0","1","246","196","7","6","1","0","1","0","0","0","17051","15142","18864","16428","7","6.4","",""
"0","14","33","1","1","1","209","182","7","7","0","0","0","0","0","0","16346","16692","18557","18915","7","7.2","",""
"1","24","13","3","5","1","249","186","14","4","0","1","0","1","0","0","21095","15293","21242","15846","7.6","6.2","",""
